"id","token","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","447433X281X3726qi2qu1sq1","447433X281X3726qi2qu1sq2","447433X281X3729qi2qu4sq1","447433X281X3729qi2qu4sq2","447433X281X3732qi2qu7sq1","447433X281X3732qi2qu7sq2","447433X281X3735qi2qu10sq1","447433X281X3735qi2qu10sq2","447433X281X3738qi2qu13sq1","447433X281X3738qi2qu13sq2","447433X281X3741qi2qu16sq1","447433X281X3741qi2qu16sq2","447433X281X3744qi2qu19sq1","447433X281X3744qi2qu19sq2","447433X281X3747qi2qu22sq1","447433X281X3747qi2qu22sq2","447433X282X3750qi2qu25sq1","447433X282X3752qi2qu27sq1","447433X282X3754qi2qu29sq1","447433X282X3756qi2qu31sq1","447433X283X3758","447433X283X3759"
"1",NULL,NULL,NULL,"hr","131690609","2020-02-04 18:39:38","2020-02-04 18:39:38","89.201.239.207",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2",NULL,"2020-02-04 19:35:02","14","hr","1737839880","2020-02-04 19:30:51","2020-02-04 19:35:02","5.43.172.213","A3","A2","A1","A2","A1","A2","A2","A1","A2","A3","A1","A3","A2","A3","A2","A3","A1","A2","A1","A2","A1","A3"
"3",NULL,"2020-02-04 20:39:36","14","hr","600693071","2020-02-04 20:34:33","2020-02-04 20:39:36","213.101.181.80","A2","A3","A1","A3","A2","A1","A2","A1","A3","A1","A1","A3","A2","A1","A2","A1","A1","A2","A1","A2","A1","A2"
"4",NULL,NULL,"7","hr","804830324","2020-02-05 09:29:43","2020-02-05 09:32:06","193.217.222.219","A1","A2","A2","A3","A1","A3","A2","A3","A2","A3","A2","A3","A1","A2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"5",NULL,"2020-02-05 09:45:16","14","hr","1407376538","2020-02-05 09:41:01","2020-02-05 09:45:16","84.41.106.156","A3","A1","A3","A1","A1","A2","A3","A1","A1","A3","A3","A1","A3","A2","A2","A3","A1","A1","A1","A1","A2","A2"
"6",NULL,NULL,"6","hr","364297004","2020-02-05 16:11:41","2020-02-05 16:13:41","92.36.155.204","A3","A2","A1","A3","A3","A2","A3","A1","A1","A3","A1","A3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"7",NULL,"2020-02-05 17:23:56","14","hr","1229604031","2020-02-05 17:19:00","2020-02-05 17:23:56","46.188.130.130","A2","A1","A1","A3","A1","A3","A1","A2","A3","A1","A2","A1","A2","A1","A1","A3","A1","A1","A1","A1","A1","A2"
"8",NULL,"2020-02-05 18:45:25","14","hr","4532594","2020-02-05 18:43:24","2020-02-05 18:45:25","93.137.103.144","A2","A1","A2","A1","A1","A3","A2","A3","A1","A2","A2","A1","A3","A2","A1","A3","A1","A2","A1","A2","A1","A2"
"9",NULL,NULL,"2","hr","1103246769","2020-02-05 23:31:20","2020-02-05 23:32:56","89.146.139.3","A2","A1","A3","A2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10",NULL,"2020-02-05 23:42:43","14","hr","637827153","2020-02-05 23:38:19","2020-02-05 23:42:43","88.207.125.216","A1","A2","A1","A3","A2","A3","A3","A1","A1","A3","A2","A1","A3","A1","A2","A3","A1","A2","A1","A1","A1","A2"
"11",NULL,NULL,"4","hr","70924828","2020-02-06 02:39:41","2020-02-06 02:41:38","188.124.220.205","A2","A3","A3","A1","A2","A3","A2","A1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"12",NULL,"2020-02-06 09:34:23","14","hr","1481549193","2020-02-06 09:24:58","2020-02-06 09:34:23","31.223.137.161","A1","A2","A2","A1","A2","A1","A1","A2","A2","A3","A2","A1","A2","A1","A3","A1","A1","A1","A1","A1","A2","A2"
"13",NULL,NULL,"4","hr","1302591898","2020-02-06 09:34:54","2020-02-06 09:35:59","31.223.135.193","A1","A3","A1","A2","A1","A3","A3","A1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"14",NULL,NULL,NULL,"hr","1682353315","2020-02-06 11:20:42","2020-02-06 11:20:42","213.91.110.202",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"15",NULL,"2020-02-06 12:41:21","14","hr","325301454","2020-02-06 12:36:39","2020-02-06 12:41:21","84.41.107.166","A1","A2","A1","A3","A2","A1","A1","A3","A2","A1","A2","A3","A3","A2","A2","A1","A1","A1","A1","A2","A2","A2"
"16",NULL,NULL,"7","hr","394818925","2020-02-06 14:02:10","2020-02-06 14:04:22","212.39.104.141","A1","A2","A1","A3","A2","A1","A3","A2","A2","A3","A3","A1","A3","A1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"17",NULL,NULL,"0","hr","21817164","2020-02-06 20:30:27","2020-02-06 20:30:34","78.1.41.181",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"18",NULL,NULL,"7","hr","1447595277","2020-02-06 20:50:31","2020-02-06 20:52:16","89.201.185.91","A1","A2","A3","A1","A1","A2","A3","A2","A1","A3","A2","A1","A1","A3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"19",NULL,"2020-02-06 21:25:46","14","hr","476843392","2020-02-06 21:20:47","2020-02-06 21:25:46","93.138.22.126","A1","A3","A1","A3","A1","A3","A1","A2","A2","A3","A2","A1","A2","A1","A3","A1","A1","A1","A1","A1","A1","A3"
"20",NULL,"2020-02-06 21:49:15","14","hr","1793876116","2020-02-06 21:46:06","2020-02-06 21:49:15","85.94.139.87","A2","A3","A3","A1","A1","A3","A2","A3","A1","A3","A3","A1","A3","A1","A1","A2","A1","A2","A1","A1","A2","A2"
"21",NULL,NULL,"4","hr","195846889","2020-02-07 16:10:06","2020-02-07 16:11:50","94.250.18.58","A1","A2","A3","A1","A2","A3","A1","A3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"22",NULL,"2020-02-07 17:37:21","14","hr","83884263","2020-02-07 17:33:35","2020-02-07 17:37:21","188.124.194.174","A2","A1","A1","A2","A3","A1","A3","A2","A1","A3","A3","A2","A3","A1","A3","A2","A1","A1","A1","A2","A2","A2"
"23",NULL,"2020-02-08 10:40:10","14","hr","1348563394","2020-02-08 10:36:30","2020-02-08 10:40:10","89.172.32.98","A1","A3","A1","A2","A1","A3","A3","A2","A3","A2","A1","A2","A3","A1","A3","A1","A1","A2","A1","A1","A1","A3"
