"ID","A1B1","A2B1","A3B1","A4B1","A5B1","A6B1","A7B1","A8B1","A9B1","A10B1","A11B1","A12B1"
1,-2.63932197575589,4.49091532167105,2.19866039047082,1.91473664323038,1.36551958236709,-0.643544759737933,3.12746098630035,2.47837141873814,3.14428252584728,4.27053290751625,5.25264162553449,1.02090748971047
2,2.47869349559743,2.66558908746087,2.18154419190734,0.81170052375517,2.6510783370108,5.97679414997887,4.08201745903508,-0.147356615310165,1.4383356476871,-0.749104384100696,5.84252818548926,-0.411349706245526
3,1.91968971322083,3.20467173173783,0.185088554055405,3.33316062506038,-1.42493925960095,4.73959473122326,-2.13527451447351,2.53786280755057,2.01483483201173,4.75867729235554,4.71954432414476,0.965500179331174
4,-0.845184798280033,5.67031516014881,2.86811323182966,2.51055020675653,-2.10379577782267,2.82683100169409,2.01510745202865,3.32977649633155,4.21760378073492,-2.60452933564368,4.43100680378606,2.49046311247405
5,0.696603780105416,5.66873119084298,3.35260842030209,-0.207861641003491,-0.662736905271322,1.7099822953388,3.90022517528645,1.19158601562135,3.0772526822948,0.644884691538283,5.30073460239536,0.661684342916929
6,1.17096992510699,2.33604010709609,4.3129082411354,0.276763470464889,1.81339286040941,4.36213559249903,4.21705789385483,-0.107547436297817,1.6294498900627,-2.12224159151086,5.94377246176481,2.88779738925383
7,2.9400717196917,4.89350389290813,2.72550749473735,-0.709437375803912,-1.01367196976807,4.48302733246101,1.57158870366168,1.42300735718238,2.17330463339937,0.40155803716602,4.03497580432205,2.52427678753537
8,1.74216504098729,1.71015175389025,-0.759950221158062,3.45725968438509,1.72625305376965,5.07103737095534,0.121265489356371,3.68169981869615,1.15930844651685,3.46207755915731,2.43098941546279,1.40045581475519
9,-2.13402666256847,4.77787486111645,2.53226129683199,1.07599179797089,1.3250379630006,2.43164248641,2.08977814416537,-1.02606474791697,1.84543782637735,4.05881879258548,6.6340781187531,3.72658344262686
10,-1.81948408981038,4.06419565334953,-1.82047289882758,1.69514932044729,-1.44646864090959,2.84068681002295,1.07946343055832,3.75409481575967,2.98341558808941,2.96307070531966,5.43197933762143,4.89628686828617
