"id","token","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","971844X278X3692qi1qu1sq1","971844X278X3692qi1qu1sq2","971844X278X3695qi1qu4sq1","971844X278X3695qi1qu4sq2","971844X278X3698qi1qu7sq1","971844X278X3698qi1qu7sq2","971844X278X3701qi1qu10sq1","971844X278X3701qi1qu10sq2","971844X278X3704qi1qu13sq1","971844X278X3704qi1qu13sq2","971844X278X3707qi1qu16sq1","971844X278X3707qi1qu16sq2","971844X278X3710qi1qu19sq1","971844X278X3710qi1qu19sq2","971844X278X3713qi1qu22sq1","971844X278X3713qi1qu22sq2","971844X279X3716qi1qu25sq1","971844X279X3718qi1qu27sq1","971844X279X3720qi1qu29sq1","971844X279X3722qi1qu31sq1","971844X280X3724","971844X280X3725"
"3",NULL,NULL,"4","hr","534994454","2020-02-04 20:32:39","2020-02-04 20:34:10","213.101.181.80","A3","A2","A3","A2","A2","A3","A3","A1",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2",NULL,"2020-02-04 20:22:00","14","hr","1413478301","2020-02-04 20:17:28","2020-02-04 20:22:00","31.223.151.152","A3","A2","A3","A2","A1","A2","A1","A3","A2","A1","A3","A1","A1","A3","A3","A1","A2","A1","A1","A1","A2","A2"
"4",NULL,NULL,"4","hr","130421576","2020-02-04 20:38:16","2020-02-04 20:40:35","31.217.18.235","A1","A2","A2","A3","A2","A1","A3","A1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"5",NULL,"2020-02-04 21:17:20","14","hr","1822105413","2020-02-04 21:08:29","2020-02-04 21:17:20","185.69.30.112","A3","A2","A1","A3","A1","A2","A2","A1","A1","A2","A3","A2","A1","A3","A1","A3","A1","A1","A1","A1","A2","A2"
"6",NULL,NULL,"8","hr","496215358","2020-02-04 23:14:12","2020-02-04 23:17:27","83.180.65.199","A1","A3","A1","A2","A2","A3","A1","A2","A1","A2","A3","A1","A1","A2","A1","A3",NULL,NULL,NULL,NULL,NULL,NULL
"7",NULL,NULL,"5","hr","2072005984","2020-02-04 23:24:51","2020-02-04 23:27:30","31.176.204.74","A3","A1","A1","A2","A2","A3","A2","A3","A2","A3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8",NULL,"2020-02-04 23:46:02","14","hr","1387472145","2020-02-04 23:43:02","2020-02-04 23:46:02","92.77.180.159","A1","A3","A3","A2","A1","A3","A1","A2","A1","A2","A1","A2","A2","A3","A2","A1","A1","A1","A1","A1","A3","A2"
"9",NULL,NULL,"8","hr","861382585","2020-02-04 23:50:39","2020-02-04 23:53:27","93.143.64.219","A2","A1","A1","A2","A1","A3","A1","A2","A3","A1","A3","A2","A1","A2","A1","A2",NULL,NULL,NULL,NULL,NULL,NULL
"10",NULL,"2020-02-05 00:21:18","14","hr","606253414","2020-02-05 00:17:00","2020-02-05 00:21:18","185.65.230.245","A3","A2","A2","A3","A2","A1","A1","A2","A1","A2","A2","A3","A1","A3","A1","A3","A1","A2","A1","A2","A2","A3"
"11",NULL,NULL,"7","hr","1687054487","2020-02-05 11:54:17","2020-02-05 11:57:02","46.234.70.138","A3","A2","A1","A2","A2","A1","A3","A1","A2","A3","A3","A2","A1","A3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"12",NULL,NULL,"5","hr","1275252694","2020-02-05 13:11:06","2020-02-05 13:13:31","95.168.125.137","A2","A3","A3","A1","A2","A3","A2","A3","A2","A3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"13",NULL,NULL,NULL,"hr","378946174","2020-02-05 15:14:36","2020-02-05 15:14:36","77.77.216.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"14",NULL,NULL,"12","hr","832417288","2020-02-05 16:09:39","2020-02-05 16:14:51","31.217.17.173","A3","A2","A1","A2","A2","A3","A2","A1","A3","A1","A3","A2","A2","A3","A1","A3","A1","A2","A1","A1",NULL,NULL
"15",NULL,NULL,"6","hr","2074367122","2020-02-05 18:07:01","2020-02-05 18:09:19","188.129.120.50","A1","A2","A1","A3","A2","A1","A2","A3","A2","A1","A3","A2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"16",NULL,NULL,"0","hr","177913716","2020-02-05 18:09:06","2020-02-05 18:10:30","188.129.121.74",,"A1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"17",NULL,NULL,NULL,"hr","115686317","2020-02-05 19:39:05","2020-02-05 19:39:05","93.143.15.144",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"18",NULL,NULL,NULL,"hr","1250652900","2020-02-05 21:02:22","2020-02-05 21:02:22","31.217.38.244",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
