"resp.id","ques","alt","anchor_1","anchor_2","anchor_3","anchor_4","zemlja","dob","best_choice","worst_choice"
3,1,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",NA,NA,NA,NA,NA,NA,0,0
3,2,"lijepo motanje i preklapanje tijesta (pogaèe, pletenice, ružice…)",NA,NA,NA,NA,NA,NA,1,0
3,2,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",NA,NA,NA,NA,NA,NA,0,1
3,2,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",NA,NA,NA,NA,NA,NA,0,0
3,3,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",NA,NA,NA,NA,NA,NA,1,0
3,3,"slane kiflice i peciva s punjenjem (šunka, sir…)",NA,NA,NA,NA,NA,NA,0,0
3,3,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",NA,NA,NA,NA,NA,NA,0,1
3,4,"slane kiflice i peciva s punjenjem (šunka, sir…)",NA,NA,NA,NA,NA,NA,0,0
3,4,"kruh (sve vrste) i pogaèe bez punjenja",NA,NA,NA,NA,NA,NA,0,1
3,4,"lijepo motanje i preklapanje tijesta (pogaèe, pletenice, ružice…)",NA,NA,NA,NA,NA,NA,1,0
3,5,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",NA,NA,NA,NA,NA,NA,0,0
3,5,"slane kiflice i peciva s punjenjem (šunka, sir…)",NA,NA,NA,NA,NA,NA,1,0
3,5,"pizze (sve vrste)",NA,NA,NA,NA,NA,NA,0,1
3,6,"kruh (sve vrste) i pogaèe bez punjenja",NA,NA,NA,NA,NA,NA,0,0
3,6,"lisnato dizano tijesto (salenjaci, kroasani, vijenci…)",NA,NA,NA,NA,NA,NA,1,0
3,6,"slatke kiflice i peciva s punjenjem (pekmez, Nutella…)",NA,NA,NA,NA,NA,NA,0,1
3,7,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",NA,NA,NA,NA,NA,NA,0,0
3,7,"lijepo motanje i preklapanje tijesta (pogaèe, pletenice, ružice…)",NA,NA,NA,NA,NA,NA,1,0
3,7,"slatke kiflice i peciva s punjenjem (pekmez, Nutella…)",NA,NA,NA,NA,NA,NA,0,1
3,8,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",NA,NA,NA,NA,NA,NA,NA,NA
3,8,"slane pogaèe s punjenjem (meso, povræe…)",NA,NA,NA,NA,NA,NA,NA,NA
3,8,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",NA,NA,NA,NA,NA,NA,NA,NA
4,1,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",1,2,1,2,"Hrvatska","više od 50 godina",1,0
4,1,"pizze (sve vrste)",1,2,1,2,"Hrvatska","više od 50 godina",0,0
