"id","token","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","916484X256X3449qi1qu1sq1","916484X256X3449qi1qu1sq2","916484X256X3452qi1qu4sq1","916484X256X3452qi1qu4sq2","916484X256X3455qi1qu7sq1","916484X256X3455qi1qu7sq2","916484X256X3458qi1qu10sq1","916484X256X3458qi1qu10sq2","916484X256X3461qi1qu13sq1","916484X256X3461qi1qu13sq2","916484X256X3464qi1qu16sq1","916484X256X3464qi1qu16sq2","916484X256X3467qi1qu19sq1","916484X256X3467qi1qu19sq2","916484X256X3470qi1qu22sq1","916484X256X3470qi1qu22sq2","916484X257X3473qi1qu25sq1","916484X257X3473qi1qu25sq2","916484X257X3473qi1qu25sq3","916484X257X3473qi1qu25sq4","916484X258X3478","916484X258X3479"
"3",NULL,"2020-02-03 18:59:58","11","hr","1079339137","2020-02-03 18:54:22","2020-02-03 18:59:58","79.143.164.86","A1","A3","A1","A3","A2","A1","A2","A3","A2","A3","A3","A2","A2","A3","A1","A2","A1","A2","A1","A2","A2","A3"
"2",NULL,NULL,"1","hr","73870265","2020-02-03 18:17:33","2020-02-03 18:18:51","109.175.29.253","A3","A1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"4",NULL,"2020-02-03 19:20:43","11","hr","1219029082","2020-02-03 19:17:35","2020-02-03 19:20:43","193.217.220.235","A3","A1","A3","A2","A2","A3","A3","A2","A1","A2","A3","A2","A1","A2","A1","A2","A1","A1","A1","A2","A1","A2"
"5",NULL,NULL,"5","hr","1944993683","2020-02-03 19:55:30","2020-02-03 19:57:59","193.217.101.34","A3","A2","A1","A3","A1","A3","A3","A1","A1","A3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"6",NULL,NULL,"1","hr","1785944934","2020-02-03 22:29:34","2020-02-03 22:29:59","95.168.124.139","A1","A3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"7",NULL,NULL,"4","hr","694675337","2020-02-03 23:02:32","2020-02-03 23:06:45","141.138.36.16","A1","A3","A1","A3","A1","A3","A1","A3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8",NULL,"2020-02-04 09:47:41","11","hr","997030880","2020-02-04 09:43:45","2020-02-04 09:47:41","178.209.5.83","A2","A3","A1","A3","A1","A3","A1","A2","A1","A2","A3","A1","A2","A3","A2","A3","A1","A2","A1","A2","A2","A2"
