"resp.id","ques","alt","anchor_1","anchor_2","anchor_3","anchor_4","zemlja","dob","best_choice","worst_choice"
3,1,"slatke kiflice i peciva s punjenjem (pekmez, Nutella…)",1,1,2,1,"Ostalo","20-50 godina",0,0
3,1,"slane kiflice i peciva s punjenjem (šunka, sir…)",1,1,2,1,"Ostalo","20-50 godina",0,1
3,2,"lijepo motanje i preklapanje tijesta (pogaèe, pletenice, ružice…)",1,1,2,1,"Ostalo","20-50 godina",1,0
3,2,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",1,1,2,1,"Ostalo","20-50 godina",0,0
3,2,"slane pogaèe s punjenjem (meso, povræe…)",1,1,2,1,"Ostalo","20-50 godina",0,1
3,3,"lisnato dizano tijesto (salenjaci, kroasani, vijenci…)",1,1,2,1,"Ostalo","20-50 godina",0,0
3,3,"kruh (sve vrste) i pogaèe bez punjenja",1,1,2,1,"Ostalo","20-50 godina",1,0
3,3,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",1,1,2,1,"Ostalo","20-50 godina",0,1
3,4,"slatke kiflice i peciva s punjenjem (pekmez, Nutella…)",1,1,2,1,"Ostalo","20-50 godina",1,0
3,4,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",1,1,2,1,"Ostalo","20-50 godina",0,1
3,4,"slane kiflice i peciva s punjenjem (šunka, sir…)",1,1,2,1,"Ostalo","20-50 godina",0,0
3,5,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",1,1,2,1,"Ostalo","20-50 godina",1,0
3,5,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",1,1,2,1,"Ostalo","20-50 godina",0,1
3,5,"lisnato dizano tijesto (salenjaci, kroasani, vijenci…)",1,1,2,1,"Ostalo","20-50 godina",0,0
3,6,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",1,1,2,1,"Ostalo","20-50 godina",0,1
3,6,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",1,1,2,1,"Ostalo","20-50 godina",1,0
3,6,"lijepo motanje i preklapanje tijesta (pogaèe, pletenice, ružice…)",1,1,2,1,"Ostalo","20-50 godina",0,0
3,7,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",1,1,2,1,"Ostalo","20-50 godina",0,1
3,7,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",1,1,2,1,"Ostalo","20-50 godina",0,0
3,7,"slane pogaèe s punjenjem (meso, povræe…)",1,1,2,1,"Ostalo","20-50 godina",1,0
3,8,"kruh (sve vrste) i pogaèe bez punjenja",1,1,2,1,"Ostalo","20-50 godina",0,0
3,8,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",1,1,2,1,"Ostalo","20-50 godina",1,0
3,8,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",1,1,2,1,"Ostalo","20-50 godina",0,1
4,1,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",2,1,2,2,"Bosna i Hercegovina","manje od 20 godina",1,0
4,1,"slatke kiflice i peciva s punjenjem (pekmez, Nutella…)",2,1,2,2,"Bosna i Hercegovina","manje od 20 godina",0,0
4,1,"slane kiflice i peciva s punjenjem (šunka, sir…)",2,1,2,2,"Bosna i Hercegovina","manje od 20 godina",0,1
4,2,"lijepo motanje i preklapanje tijesta (pogaèe, pletenice, ružice…)",2,1,2,2,"Bosna i Hercegovina","manje od 20 godina",1,0
4,2,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",2,1,2,2,"Bosna i Hercegovina","manje od 20 godina",0,0
4,2,"slane pogaèe s punjenjem (meso, povræe…)",2,1,2,2,"Bosna i Hercegovina","manje od 20 godina",0,1
4,3,"lisnato dizano tijesto (salenjaci, kroasani, vijenci…)",2,1,2,2,"Bosna i Hercegovina","manje od 20 godina",0,1
4,3,"kruh (sve vrste) i pogaèe bez punjenja",2,1,2,2,"Bosna i Hercegovina","manje od 20 godina",1,0
4,3,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",2,1,2,2,"Bosna i Hercegovina","manje od 20 godina",0,0
4,4,"slatke kiflice i peciva s punjenjem (pekmez, Nutella…)",2,1,2,2,"Bosna i Hercegovina","manje od 20 godina",1,0
4,4,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",2,1,2,2,"Bosna i Hercegovina","manje od 20 godina",0,0
4,4,"slane kiflice i peciva s punjenjem (šunka, sir…)",2,1,2,2,"Bosna i Hercegovina","manje od 20 godina",0,1
