"id","token","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","717611X259X3480qi2qu1sq1","717611X259X3480qi2qu1sq2","717611X259X3483qi2qu4sq1","717611X259X3483qi2qu4sq2","717611X259X3486qi2qu7sq1","717611X259X3486qi2qu7sq2","717611X259X3489qi2qu10sq1","717611X259X3489qi2qu10sq2","717611X259X3492qi2qu13sq1","717611X259X3492qi2qu13sq2","717611X259X3495qi2qu16sq1","717611X259X3495qi2qu16sq2","717611X259X3498qi2qu19sq1","717611X259X3498qi2qu19sq2","717611X259X3501qi2qu22sq1","717611X259X3501qi2qu22sq2","717611X260X3504qi2qu25sq1","717611X260X3504qi2qu25sq2","717611X260X3504qi2qu25sq3","717611X260X3504qi2qu25sq4","717611X261X3509","717611X261X3510"
"1",NULL,"2020-02-03 16:46:52","11","hr","358596818","2020-02-03 16:45:37","2020-02-03 16:46:52","141.138.56.203","A1","A2","A1","A3","A1","A3","A1","A3","A1","A3","A1","A3","A1","A3","A1","A2","A1","A1","A2","A2","A1","A2"
"2",NULL,"2020-02-03 18:06:48","11","hr","1971612789","2020-02-03 18:02:55","2020-02-03 18:06:48","109.77.36.137","A3","A2","A3","A2","A3","A1","A1","A3","A2","A3","A3","A2","A1","A3","A2","A1","A1","A2","A1","A2","A1","A2"
"4",NULL,NULL,"7","hr","226480343","2020-02-03 19:44:08","2020-02-03 19:46:56","89.201.201.177","A1","A2","A1","A2","A1","A3","A3","A2","A2","A3","A2","A3","A2","A3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"5",NULL,"2020-02-03 20:38:38","11","hr","1995363725","2020-02-03 20:35:02","2020-02-03 20:38:38","5.25.240.199","A1","A3","A1","A2","A2","A1","A3","A2","A3","A1","A2","A3","A2","A3","A2","A1","A1","A2","A1","A2","A1","A3"
