"ID","A1B1","A2B1","A3B1","A4B1","A5B1","A6B1","A7B1","A8B1","A9B1","A10B1","A11B1","A12B1"
1,1.23705459437106,4.27998147312921,1.88646457627275,4.53639325451256,3.66495936004996,0.212053032943062,-1.39528820372482,2.61940746775292,1.38589671283412,-1.4190452514808,2.31611285040883,0.851338444849606
2,-1.02586923994872,1.89652353201554,0.988787155499703,1.84051532007898,1.00131702010846,-2.27872444596751,-3.67350107529373,-0.260271036001317,-1.36276579926129,-3.94473074806599,-0.948889582691548,0.621907597985269
3,-3.13922893865142,-1.66575258400848,-1.75433206696336,-1.06461311082734,-0.021045511334242,-5.0506710112488,-6.28825206934333,-2.07429581069351,-4.79597836701613,-6.13789561206743,-1.81623049809423,-0.844837363367828
4,-0.0688383642816413,3.53147094939198,1.71921054929993,2.53469571607251,1.16785513732203,-1.33649526226639,-2.70745545644154,-0.503930019238664,-0.0548146982062682,-2.24884303636723,0.27355507844528,1.56075902494623
5,-3.98569662906504,-1.45505793458172,-2.05767940920762,-0.758717332391764,-2.96241688232462,-6.64098945649466,-8.01549556649637,-3.00678466902687,-4.71603327606411,-6.98629950656918,-2.99240743188435,-2.65871972743838
6,-0.560164485331259,2.11276717363732,-0.0178699086348323,1.23436759833699,2.26539065017841,-2.26228919870855,-3.05752076827128,-0.577924082778226,-1.55743012747792,-3.56088105381749,-0.199922754626201,-1.71164814392454
7,-0.566634800058737,1.5416688074305,1.20967893715073,2.04977260543646,0.501565562436991,-2.40886771884644,-2.93846813305294,0.652291493537667,-1.61021328159708,-2.88163400299085,0.895474786403251,0.352889571103519
8,-1.03791116160689,2.51644741225645,0.285921612275084,2.54512569940591,-0.560475783609063,-1.68750884632695,-3.9801471138966,0.933840885935556,-1.45214504428209,-4.51404935225233,-0.575926984840134,-0.982457612432627
9,-3.63693822956414,0.105077512199707,-0.331680011941652,0.370457278420629,-0.757747626121661,-4.32546793949517,-5.08795612983767,-2.15834812024619,-3.81142050916693,-6.34429437976527,-1.28943060373753,-1.17602498867469
10,-0.803901756844017,2.4284081205915,1.37488258630084,3.51607805217827,2.60733134037577,0.410574312573704,-2.04772415769894,2.28209110473759,2.69286071568694,-2.18889868549031,1.32792873271597,1.95468396632686
11,-2.58022906793941,0.522979908149512,-0.0659782766419205,1.3146686104977,0.100467097296038,-3.20216695012901,-3.98944356350192,-1.01643604864701,-2.71580694512264,-4.6044639843949,0.491352333019096,-0.130474190731056
12,-1.84798414402104,1.03403786301317,0.901007576943575,0.619212490417603,-0.667757895871906,-4.06877684273441,-5.701728121588,0.439482934773286,-2.5266549189196,-4.77590265868855,-0.649323407028098,-1.82048504361269
13,-3.08978291921596,-1.46938684621404,0.334793499092439,-0.03713760923882,-0.754017146331804,-4.56748983200946,-6.33223496797083,-1.45219805809411,-1.71100998500377,-4.83335409720563,-2.51691833214654,-1.08284065152261
14,-0.967612986097608,1.96593621269362,-0.0529870905361348,1.80863422405849,0.78290468655799,-2.66934612759906,-3.06032283912769,0.27626239446355,-0.770205040500501,-4.356375950954,0.0358538215386467,0.0660115179996673
15,-2.46891976597527,0.474509257684614,1.03149168300562,1.35912555425066,0.161974311981724,-2.38584531854234,-4.49781450880253,-0.923981982013676,-1.99640118143694,-5.21426466103435,-0.403077968469899,-0.0837306088200059
16,-3.26090497761035,-0.479898136302301,-2.59943178524345,-0.0865014594485834,-1.51001449885662,-5.52121997560352,-6.30307234558924,-2.26834553190156,-4.45079931654059,-5.53820927563005,-2.42930878347397,-1.96480127809834
17,-2.03693888037719,-1.04040246950966,0.348671570670583,0.577466941663358,-0.841375580058454,-4.14582042362377,-6.38330315323041,-1.36355402121414,-4.37600542323124,-4.80426368779902,-0.697251507009782,-2.59740912592076
18,-2.77346106723822,0.29534459516924,0.478405480148031,-0.431614024636819,0.679739132495282,-2.70260007564364,-4.70597574792354,-0.218511653136015,-2.13728725502834,-5.51689301528955,-0.686826874502331,-0.269811145760764
19,-1.7323327716875,0.947511805545713,-0.653460073016073,1.84580770691036,-0.0955267803410639,-3.97492999761793,-5.47281468470304,-0.498350444032354,-2.36929947350765,-4.83039312656082,0.0576888769074734,-0.84361592453936
20,-1.41800213037756,1.39127450919315,1.59160298906958,1.23339183525822,2.44358999929988,-1.64711612271606,-3.07854114874533,0.112757796992877,-1.24925344761109,-4.35183675854888,-1.11220067113559,-0.939695431813658
21,-4.3608019369467,-0.271802407821392,-1.40899744635494,-1.25085310420269,-2.66111945613797,-6.55500742449319,-7.24435432547231,-2.39160445249209,-5.30637247584765,-6.97390245125416,-2.8239937523596,-3.31320766050749
22,-2.195530121708,-1.26349708108571,-0.643215329261385,2.01006066409845,-0.366402131315381,-2.31653609624479,-5.34791890987395,0.231779831370508,-1.91570639690013,-4.67705955957179,0.560795381365914,-0.807528352982658
23,-4.68521459004276,-2.12318026929807,-1.00819283893301,-2.11439838925515,-2.39090698673601,-6.57912647540119,-6.83634052548032,-3.98762445999005,-4.90272661628559,-7.12638782429274,-2.85195729547071,-3.63857564922644
24,-3.38664601691607,-0.66231099550458,-1.52324113235565,-0.815671457527966,-2.2515650305522,-5.80947437055881,-6.75593684296918,-2.26566453727146,-4.06545779600167,-6.96335450985499,-2.41474734055471,-1.05926321998043
25,0.924103392813056,4.51478680833792,2.54047359775462,3.94654065119014,4.65420851023471,0.206897011679669,-0.610424146727133,2.54763498201417,0.49919376775964,-1.50415897365354,2.02956266099574,2.46848975764039
26,-2.1988067261008,0.941941580671679,1.2453101235109,0.937311116733918,1.22411605686705,-2.80409316560958,-3.50681860357149,-0.181727852736491,-2.76436241977469,-3.49900959081266,-0.719493800250247,0.250880615864763
27,-2.01906100792357,-0.264636960934436,-0.789339908750841,0.516193264489952,-0.739398510527107,-4.5248822844742,-4.24707837049353,-1.49364433121598,-3.51385211855307,-5.1921211819639,-1.71762392868653,-2.53536170175161
28,-1.10678422272456,1.23452286595611,2.1842841572335,2.59552089153666,1.61420947455907,-0.882720256489827,-2.53839650089663,1.55492536901237,-1.49493005355546,-3.0944438221842,0.813483461627858,1.39693309123738
29,-1.55077040942534,2.57676958209832,0.952144234954247,0.475023753094585,0.802086494815852,-3.13777881703004,-3.84607502971271,-0.0733957960147948,-1.66649460374033,-3.36788690024337,-0.0694289276899939,-0.259204428935339
30,-1.65090919810562,1.01783284382473,0.930971977544572,0.454516776174644,0.254450381544725,-3.2907546597767,-4.56089733905683,-2.9004626450737,-1.29143461124415,-4.67691772328275,-0.727468711750963,-0.949428862855167
31,-1.5314585887694,0.907623706724303,-0.355255268698983,1.55295308862886,-0.939221539219468,-4.11804136279349,-5.0499737362218,-1.4198430715786,-3.3183873197001,-4.96140994600043,-0.192086535441212,-1.23596851245817
32,-3.92582511120262,-1.61549925071997,0.762673676480301,-0.99759629215298,-0.890958597453789,-4.63246167563526,-6.71856930448457,-2.9288642070058,-2.72248027030641,-5.93998297245515,-1.48526687363191,0.194541943901692
33,-0.337347971043569,1.57214966881158,1.24327511880018,1.4297449710022,0.3081395590673,-2.90686018077648,-3.79006462404353,-0.643882462591593,-1.3441470715131,-4.40546164352113,1.73488299536166,1.78282845147287
34,-2.11833401449088,-0.627258181648767,0.667524441993956,0.949450378527908,-1.75109084483431,-4.36850824167993,-5.38393415561242,-0.880650625617154,-3.1896859418225,-5.21963482140622,-0.113930199996772,0.175125021850236
35,-0.987593072014454,2.5660907245567,0.870755707958348,2.26151378693529,2.22017883823613,-1.88677952382495,-2.71759592106797,0.75936005042933,-1.38294886489685,-4.08304148257103,-0.535503120129526,1.98876259424451
36,-0.266024167330718,4.27329870482881,1.40557572155726,2.35229064897872,2.24903265979827,-1.61360168305811,-1.40229832830726,2.67257114184054,-0.724711979140363,-3.2987700522589,1.12497845069606,1.3200842946019
37,-2.20262407525279,1.39706516306167,-1.11590596706648,0.827441884409728,-0.910038638127777,-4.76248930646075,-4.46954462836637,-1.04564645910323,-1.62633661643129,-4.91137708334392,-1.55849834590878,-2.08952689931407
38,-0.683613687545675,3.44334020019263,1.38603000641783,2.19748396975988,3.7207295550243,-1.08075831956619,-0.242282857128885,0.177071544833471,-0.624748392235249,-3.19033928844795,0.959632941093809,1.96137650983986
39,-1.18639564525241,2.11575334901473,0.943718168501604,0.441661009987814,1.64266393214246,-2.6636697998363,-3.31777557559439,-1.20425035659912,-2.68783832872254,-4.0576282444383,0.0794753362383687,1.17525064210656
40,-3.83590342355004,-0.467678937498344,-0.147600747469452,-0.147930932538143,-1.2994614124739,-6.27299032979558,-6.59589518705353,-2.78419856439377,-3.39677133705907,-6.33762024498286,-2.40085528274353,-2.6461080666484
41,-2.24172520133796,1.22332309349909,-0.176756954840992,1.06183056653308,0.96514988323592,-3.35369024886713,-2.94738589130964,-1.38770106268065,-3.24388108439372,-5.29721078828731,-1.67365820073388,-0.281002962652363
42,-1.33721808108369,1.18450212687648,-0.0572207888747627,2.66755722140229,0.909785735326691,-2.50545635085268,-3.07015295901415,1.5499306101435,-0.56350261787524,-3.70401552975533,-0.471465025797521,-0.687284296673545
43,-1.15329649435672,1.19195866820045,0.979824142778902,1.11924288868648,1.45543260713924,-2.49218733230315,-3.95163152504378,-0.453802172263315,-2.06888083856041,-3.98486265260738,-0.483809586968598,1.25621948523079
44,-3.56210073596966,-1.43872384670978,-2.65938316483976,-1.24277884433958,-3.82053122342987,-6.45810104883725,-8.08550004380382,-2.420164198913,-4.90416500634206,-6.98952929478428,-1.97280701587485,-3.33599210876435
45,-1.61144078694746,2.29230303016004,0.182786418613094,1.65989486241513,1.17537315884034,-2.66997723282215,-2.89845504623979,1.6882906116553,-1.07997734510401,-3.66089031845589,0.405789508168313,1.16426229317396
46,-1.48887830170762,2.70705995678947,-0.215473740830231,1.80771159249534,0.0502912226357403,-3.1359806158803,-3.29318291238824,1.43126141272034,-2.61590285296367,-3.29260225831918,0.113261450212727,-0.108238470453647
47,-3.56420739002383,-0.436489050140421,-1.59018322099536,-1.55744936639539,-1.00371315341766,-6.58824146332505,-5.57032270733598,-2.16253294397324,-5.45253445798541,-6.48655240882444,-2.0238771565417,-3.68682334481203
48,-2.4604539581544,1.77693292478808,0.126802918585554,-0.146648393357105,-0.58301999259927,-4.08643805509664,-4.05256524022182,-1.48872535382286,-2.49859804473127,-4.89887096188256,-1.12322053411361,0.222483552838513
49,-2.37879437291672,1.29209691694769,-0.706871062737396,0.610527226894516,-0.373110331128398,-4.46537192195141,-4.04529542024903,-2.53836782492924,-2.61870922946285,-5.75113782469161,-1.7628871732745,-2.5163363982053
50,-2.05793727282957,0.935882054629892,-0.188405006849754,1.89386194433873,-0.611363569826981,-2.42625885209328,-4.44871928086872,-0.966471151021113,-2.1430343563411,-4.49147942546107,-0.0641765481307739,-1.52852620701595
51,-0.409920372840743,4.09643851984971,1.86548483270905,1.95706545537236,3.00916410066216,-1.39957618067592,-1.48841578955393,0.0243173983343858,-1.40693593161153,-2.71010162303872,0.912392112823693,1.7389288166782
52,-4.43254806951022,-2.5134194712003,-2.42458713997755,-1.05325334054682,-2.7601007891352,-6.8650627125742,-8.39088674652091,-3.93756905244681,-5.16881720547951,-7.48298239241461,-2.95708638657951,-3.12868842631632
53,-2.55723100440679,-0.220888652495755,-1.80773111608111,-0.846103079083317,-2.56119237226773,-5.14281476080138,-6.00477601480738,-0.681224995604183,-3.58342362118169,-5.73335951613722,-2.03802101634999,-1.36967572540344
54,-4.42917876822309,-0.879191530234308,-2.19650699368287,-0.92630159097269,-2.51791663073091,-5.85448560810137,-7.37793106692661,-1.88853043340997,-4.10755615206402,-5.22483015964314,-2.01881049844264,-2.17956774881376
55,-0.336766616860211,3.1610700020186,0.80767628977081,2.8804733065797,1.9213242970143,-1.80060931517899,-2.55053523030987,1.53483219528198,-0.270766927858004,-2.88536499359395,1.61588658335064,2.86208640488348
56,-0.919854802100027,0.855107272362854,0.794227996167654,0.338246465356745,0.365033739935733,-2.82440101441332,-4.33354094951151,0.203915967174182,-2.46690303175332,-4.07738273578262,0.2075262557788,-1.17766771470659
57,-1.399529460872,0.939862167094499,1.29121907262085,2.85797727848722,1.24373795644721,-1.60504573933076,-1.60087643348762,0.195253302873331,-0.672057363584757,-3.92669711771537,0.84880614053202,0.430264004715879
58,-1.68379906406708,1.56800547083628,1.35478199248231,0.877682726445871,0.689933294043943,-2.64093448847602,-3.4713889750578,-0.215027585366541,-1.83736552145317,-3.92295900301116,-0.765533845719334,-1.29855801738419
59,-1.45369820219956,2.19663072978319,0.526624826925069,1.86057277384902,-0.939940032070262,-3.06127981354511,-3.7532120303196,-0.875652045554631,-3.08015819895346,-4.39564702296135,-0.724314222086676,0.0406732613218831
