"id","token","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","792743X262X3511qi3qu1sq1","792743X262X3511qi3qu1sq2","792743X262X3514qi3qu4sq1","792743X262X3514qi3qu4sq2","792743X262X3517qi3qu7sq1","792743X262X3517qi3qu7sq2","792743X262X3520qi3qu10sq1","792743X262X3520qi3qu10sq2","792743X262X3523qi3qu13sq1","792743X262X3523qi3qu13sq2","792743X262X3526qi3qu16sq1","792743X262X3526qi3qu16sq2","792743X262X3529qi3qu19sq1","792743X262X3529qi3qu19sq2","792743X262X3532qi3qu22sq1","792743X262X3532qi3qu22sq2","792743X263X3535qi3qu25sq1","792743X263X3535qi3qu25sq2","792743X263X3535qi3qu25sq3","792743X263X3535qi3qu25sq4","792743X264X3540","792743X264X3541"
"6",NULL,NULL,"8","hr","1851380686","2020-02-03 18:32:59","2020-02-03 18:36:51","88.207.108.187","A1","A2","A3","A2","A3","A1","A2","A1","A1","A3","A3","A1","A1","A2","A2","A3","A1",,,"A2",NULL,NULL
"5",NULL,NULL,"8","hr","1390444305","2020-02-03 18:25:21","2020-02-03 18:27:19","77.77.218.101","A3","A2","A2","A1","A1","A3","A3","A1","A2","A3","A1","A3","A3","A1","A3","A1","A1",,,"A2",NULL,NULL
"4",NULL,"2020-02-03 18:21:53","11","hr","2023376332","2020-02-03 18:19:19","2020-02-03 18:21:53","109.175.29.253","A1","A3","A2","A1","A2","A3","A3","A2","A2","A3","A2","A3","A3","A1","A1","A2","A1","A2","A1","A2","A2","A2"
"8",NULL,"2020-02-03 19:44:13","11","hr","371162757","2020-02-03 19:37:56","2020-02-03 19:44:13","89.164.118.226","A3","A2","A1","A2","A3","A1","A3","A1","A3","A1","A3","A1","A3","A2","A1","A3","A1","A2","A1","A1","A1","A3"
"9",NULL,NULL,NULL,"hr","1372332183","2020-02-03 21:31:25","2020-02-03 21:31:25","93.139.98.41",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
