"questionnaire.id","resp.id","ques","alt","anchor_1","anchor_2","anchor_3","anchor_4","zemlja","dob","best_choice","worst_choice"
1,2,2,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",2,1,2,1,"Ostalo","više od 50 godina",1,0
1,2,2,"lisnato dizano tijesto (salenjaci, kroasani, vijenci…)",2,1,2,1,"Ostalo","više od 50 godina",0,0
1,2,3,"lijepo motanje i preklapanje tijesta (pogaèe, pletenice, ružice…)",2,1,2,1,"Ostalo","više od 50 godina",1,0
1,2,3,"kruh (sve vrste) i pogaèe bez punjenja",2,1,2,1,"Ostalo","više od 50 godina",0,0
1,2,3,"slatke kiflice i peciva s punjenjem (pekmez, Nutella…)",2,1,2,1,"Ostalo","više od 50 godina",0,1
1,2,3,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",2,1,2,1,"Ostalo","više od 50 godina",0,0
1,2,4,"slane pogaèe s punjenjem (meso, povræe…)",2,1,2,1,"Ostalo","više od 50 godina",0,0
1,2,4,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",2,1,2,1,"Ostalo","više od 50 godina",0,1
1,2,4,"lijepo motanje i preklapanje tijesta (pogaèe, pletenice, ružice…)",2,1,2,1,"Ostalo","više od 50 godina",0,0
1,2,4,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",2,1,2,1,"Ostalo","više od 50 godina",1,0
1,2,5,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",2,1,2,1,"Ostalo","više od 50 godina",0,0
1,2,5,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",2,1,2,1,"Ostalo","više od 50 godina",0,1
1,2,5,"pizze (sve vrste)",2,1,2,1,"Ostalo","više od 50 godina",0,0
1,2,5,"slane pogaèe s punjenjem (meso, povræe…)",2,1,2,1,"Ostalo","više od 50 godina",1,0
1,2,6,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",2,1,2,1,"Ostalo","više od 50 godina",0,0
1,2,6,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",2,1,2,1,"Ostalo","više od 50 godina",1,0
1,2,6,"kruh (sve vrste) i pogaèe bez punjenja",2,1,2,1,"Ostalo","više od 50 godina",0,0
1,2,6,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",2,1,2,1,"Ostalo","više od 50 godina",0,1
1,2,7,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",2,1,2,1,"Ostalo","više od 50 godina",1,0
1,2,7,"slatke kiflice i peciva s punjenjem (pekmez, Nutella…)",2,1,2,1,"Ostalo","više od 50 godina",0,1
1,2,7,"lisnato dizano tijesto (salenjaci, kroasani, vijenci…)",2,1,2,1,"Ostalo","više od 50 godina",0,0
1,2,7,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",2,1,2,1,"Ostalo","više od 50 godina",0,0
1,2,8,"kruh (sve vrste) i pogaèe bez punjenja",2,1,2,1,"Ostalo","više od 50 godina",0,0
1,2,8,"pizze (sve vrste)",2,1,2,1,"Ostalo","više od 50 godina",1,0
1,2,8,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",2,1,2,1,"Ostalo","više od 50 godina",0,0
1,2,8,"slane kiflice i peciva s punjenjem (šunka, sir…)",2,1,2,1,"Ostalo","više od 50 godina",0,1
1,2,9,"lisnato dizano tijesto (salenjaci, kroasani, vijenci…)",2,1,2,1,"Ostalo","više od 50 godina",0,1
1,2,9,"lijepo motanje i preklapanje tijesta (pogaèe, pletenice, ružice…)",2,1,2,1,"Ostalo","više od 50 godina",0,0
1,2,9,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",2,1,2,1,"Ostalo","više od 50 godina",1,0
1,2,9,"pizze (sve vrste)",2,1,2,1,"Ostalo","više od 50 godina",0,0
1,2,10,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",2,1,2,1,"Ostalo","više od 50 godina",0,1
1,2,10,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",2,1,2,1,"Ostalo","više od 50 godina",0,0
1,2,10,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",2,1,2,1,"Ostalo","više od 50 godina",0,0
1,2,10,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",2,1,2,1,"Ostalo","više od 50 godina",1,0
1,3,1,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",1,0
1,3,1,"slane kiflice i peciva s punjenjem (šunka, sir…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,1
1,3,1,"slane pogaèe s punjenjem (meso, povræe…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,1,"slatke kiflice i peciva s punjenjem (pekmez, Nutella…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,2,"slane kiflice i peciva s punjenjem (šunka, sir…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,2,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,1
1,3,2,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,2,"lisnato dizano tijesto (salenjaci, kroasani, vijenci…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",1,0
1,3,3,"lijepo motanje i preklapanje tijesta (pogaèe, pletenice, ružice…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",1,0
1,3,3,"kruh (sve vrste) i pogaèe bez punjenja",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,1
1,3,3,"slatke kiflice i peciva s punjenjem (pekmez, Nutella…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,3,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,4,"slane pogaèe s punjenjem (meso, povræe…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,4,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,1
1,3,4,"lijepo motanje i preklapanje tijesta (pogaèe, pletenice, ružice…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",1,0
1,3,4,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,5,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,1
